ID товара,Наименование,Бренд,Актуальная Цена,Старая цена,Ссылка
Артикул: 333225,"METRO Chef Мороженое Пломбир ванильный, 2.5кг",METRO CHEF,999,,https://online.metro-cc.ru/products/plombir-vanilnyj-metro-chef-25kg
Артикул: 452287,"Мороженое Коровка из Кореновки Пломбир 15%, 1кг",КОРОВКА ИЗ КОРЕНОВКИ,569,,https://online.metro-cc.ru/products/korovka-iz-korenovki-plombir-15-1kg-bzmzh
Артикул: 110858,"Чай Nordictea клюква-бадьян-апельсин замороженный, 50г",NORDICTEA,69.90,113,https://online.metro-cc.ru/products/chaj-nordictea-klyukva-badyan-apelsin-50g
Артикул: 452289,"Мороженое Коровка из Кореновки Пломбир шоколадный вафельный стаканчик, 100г",КОРОВКА ИЗ КОРЕНОВКИ,73.90,,https://online.metro-cc.ru/products/plombir-korovka-iz-korenovki-shokolad-vafelnyj-stakanchik-100g-bzmzh
Артикул: 117346,"Мороженое Коровка из Кореновки Пломбир с шоколадной крошкой стакан, 80г",КОРОВКА ИЗ КОРЕНОВКИ,73.90,,https://online.metro-cc.ru/products/80g-plombir-korovka-iz-korenovki-shok-krosh-stakan-bzmzh
Артикул: 457567,"METRO Chef Мороженое Пломбир с ароматом фисташки, 1.5кг",METRO CHEF,809.01,,https://online.metro-cc.ru/products/plombir-metro-chef-fistashka-15kg
Артикул: 452291,"Мороженое Коровка из Кореновки Пломбир вафельный стаканчик, 100г",КОРОВКА ИЗ КОРЕНОВКИ,73.90,,https://online.metro-cc.ru/products/plombir-korovka-iz-korenovki-vafelnyj-stakanchik-100g-bzmzh
Артикул: 526961,"Мороженое Baskin Robbins Пломбир миндаль и фисташка, 600г",BASKIN ROBBINS,679,,https://online.metro-cc.ru/products/plombir-baskin-robbins-mindal-fistashka-vederko-600g-bzmzh
Артикул: 110857,"Чай Nordictea апельсин-облепиха-жмых замороженный, 50г",NORDICTEA,69.90,113,https://online.metro-cc.ru/products/chaj-nordictea-apelsin-oblepihazhmyh-50g
Артикул: 499987,"Мороженое Gelato Di Natura кофе, 1.575кг",GELATO,1559,,https://online.metro-cc.ru/products/plombir-gelato-di-natura-kofe-kontejner-15kg
Артикул: 116782,"Мороженое Bounty с кокосовой стружкой и шоколадной глазурью, 272г",BOUNTY,499,,https://online.metro-cc.ru/products/272g-morozhenoe-bounty-vederko-bzmzh
Артикул: 497876,"aro Мороженое ванильное, 1кг",ARO,227,,https://online.metro-cc.ru/products/aro-morozhenoe-vanilnoe-1kg
Артикул: 454877,"Мороженое Золотой стандарт Пломбир суфле и шоколадным наполнителем контейнер, 475г",ЗОЛОТОЙ СТАНДАРТ,309,459,https://online.metro-cc.ru/products/plombir-zolotoj-standart-shokoladnyj-kontejner-500g-bzmzh
Артикул: 654869,"METRO Chef Мороженое Пломбир вишневый, 2.5кг",METRO CHEF,1099,,https://online.metro-cc.ru/products/plombir-metro-chef-vishnevyj-bez-soderzhaniya-molochnogo-zhira-25kg
Артикул: 119426,"METRO Chef Мороженое Пломбир ванильный, 500г",METRO CHEF,349,,https://online.metro-cc.ru/products/500g-plombir-metro-chef-vanil-vanna-bzmzh
Артикул: 562917,"Мороженое Вологодский пломбир в вафельном стаканчике 15%, 100г",ВОЛОГОДСКИЙ ПЛОМБИР,49.90,58.91,https://online.metro-cc.ru/products/plombir-ajsberri-vologodskij-vafelnyj-stakanchik-100g-bzmzh
Артикул: 107026,"METRO Chef Мороженое Пломбир соленая карамель, 1.5кг",METRO CHEF,619,,https://online.metro-cc.ru/products/plombir-metro-chef-solenaya-karamel-15kg
Артикул: 137186,"Мороженое Monterra Вишневый торт, 300г",MONTERRA,469,,https://online.metro-cc.ru/products/morozhenoe-monterra-vishnevyy-tort-300g-bzmzh
Артикул: 333224,"METRO Chef Мороженое Пломбир с кусочками клубники, 2.5кг",METRO CHEF,999,,https://online.metro-cc.ru/products/plombir-s-kusochkami-klubniki-metro-chef-25kg
Артикул: 137187,"Сорбет Monterra Маракуйя и манго, 300г",MONTERRA,549,,https://online.metro-cc.ru/products/sorbet-monterra-marakuyya-mango-300g
Артикул: 654868,"METRO Chef Мороженое Пломбир крем-брюле, 2.5кг",METRO CHEF,1099,,https://online.metro-cc.ru/products/plombir-metro-chef-krem-bryule-bez-soderzhaniya-molochnogo-zhira-25kg
Артикул: 137168,"Мороженое Monterra Бельгийский шоколад, 276г",MONTERRA,469,,https://online.metro-cc.ru/products/morozhenoe-monterra-belgiyskiy-shokolad-276g-bzmzh
Артикул: 500716,"Мороженое Золотой стандарт Пломбир классический полено, 990г",ЗОЛОТОЙ СТАНДАРТ,399,519,https://online.metro-cc.ru/products/plombir-zolotoj-standart-klassicheskij-poleno-900g-bzmzh
Артикул: 218346,"Мороженое Brandice сливки с печеньем, 600г",BRANDICE,399,759,https://online.metro-cc.ru/products/600g-morozhenoe-brandice-slivki-s-pechenem-bzmzh
Артикул: 218345,"Мороженое Brandice пралине, 600г",BRANDICE,399,759,https://online.metro-cc.ru/products/600g-morozhenoe-brandice-praline-bzmzh
Артикул: 137545,"METRO Chef Сорбет манго замороженный, 1.5кг",METRO CHEF,869,,https://online.metro-cc.ru/products/15kg-sorbet-metro-chef-mango-zamorozhennyy
